topic	word	pos	meaning_zh	chunk	chunk_zh	source_url	source_note	usage_note
教育与学习	seminar	n.	以讨论为主的研讨课	take part in a seminar	参加研讨课	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	tutorial	n.	小组辅导课；也可指操作教程	a weekly tutorial	每周一次的辅导课	https://www.oxfordlearnersdictionaries.com/definition/english/tutorial_1	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	attendance	n.	出席；到课情况	improve school attendance	改善到校出勤情况	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	enrol	v.	报名参加课程；美式常作 enroll	enrol in a course	报名参加课程	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	graduate	v.	毕业；此处不取毕业生的名词义	graduate from university	大学毕业	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	revise	v.	复习（英式）；另有修改义	revise for an exam	为考试复习	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	feedback	n.	对表现的反馈；通常不可数	receive useful feedback	获得有用的反馈	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	compulsory	adj.	必须参加或完成的	compulsory education	义务教育	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	vocational	adj.	与职业技能训练有关的	vocational training	职业培训	https://www.oxfordlearnersdictionaries.com/definition/english/vocational	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	academic	adj.	与学校学习或学术有关的	academic performance	学业表现	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	independent	adj.	能自主完成、不依赖他人的	independent learning	自主学习	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	skill	n.	通过学习或练习掌握的技能	develop practical skills	培养实用技能	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	knowledge	n.	对某领域的知识；通常不可数	gain subject knowledge	获得学科知识	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	concentrate	v.	集中注意力	concentrate on a task	专注于一项任务	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	understand	v.	理解意思或原因	understand a difficult concept	理解一个难懂的概念	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	pupil	n.	在校学生；常用于中小学学生	primary school pupils	小学生	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	tutor	n.	提供个别或小组指导的教师	a private tutor	私人辅导教师	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	lecturer	n.	讲师；大学授课人员	a university lecturer	大学讲师	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	professor	n.	教授；具体职衔范围随国家而异	a professor of history	历史学教授	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	undergraduate	n.	攻读首个大学学位的学生	an undergraduate in biology	生物学本科生	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	postgraduate	n.	完成本科学位后继续攻读学位的学生	a postgraduate in engineering	工程专业研究生	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	diploma	n.	完成课程后获得的文凭	a diploma in accounting	会计专业文凭	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	certificate	n.	证明完成学习、考试或具备资格的证书	a course completion certificate	课程结业证书	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	dissertation	n.	为学位提交的较长研究论文	write a dissertation on language learning	撰写语言学习研究论文	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	与 thesis 的使用区别因国家和学位制度而异，不固定等同于硕士论文。
教育与学习	thesis	n.	为学位提出和论证研究成果的论文；另有论点义	submit a doctoral thesis	提交博士论文	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	不要把 thesis 一律限制为博士论文；复数为 theses。
教育与学习	essay	n.	围绕某一问题展开的短篇文章	write an analytical essay	撰写分析文章	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	textbook	n.	用于系统学习某学科的课本	an introductory textbook	入门教材	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	homework	n.	课后完成的作业；不可数	finish your homework	完成家庭作业	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	通常不说 a homework 或 homeworks；一项作业可说 a piece of homework。
教育与学习	revision	n.	英式：考前复习；另有修改义	do some revision for an exam	为考试做些复习	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	examination	n.	正式考试；另有检查义	sit a written examination	参加笔试	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	grade	n.	成绩等级；也可指年级	get a good grade in science	科学课取得好成绩	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	mark	n.	题目或考试中获得的分数	get full marks	得到满分	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	此处 marks 指得分，不与表示成绩等级的 grade 完全等同。
教育与学习	pass	v.	通过考试或考核	pass a driving test	通过驾驶考试	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	fail	v.	未通过考试或未能做到	fail an examination	考试未通过	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	fail an exam；表达未做到某事用 fail to do something。
教育与学习	dropout	n.	中途退出学校或课程的人	support school dropouts	帮助辍学者	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	名词为 dropout；动词结构为 drop out of a course。
教育与学习	admission	n.	获准进入学校等的资格或过程	apply for admission to university	申请大学入学	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；词形已与本地 Oxford 3000/5000 索引核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	bursary	n.	为学习费用提供的助学金	receive a bursary	获得助学金	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	apprenticeship	n.	通过受雇工作与学习掌握手艺或职业的培训	complete an apprenticeship	完成学徒培训	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
教育与学习	memorise	v.	把信息记住；美式也常作 memorize	memorise a short passage	记住一段短文	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	能记住原文不等于能理解或在新情境中使用。
教育与学习	comprehension	n.	理解文字、语言或概念的能力	reading comprehension	阅读理解	https://www.oxfordlearnersdictionaries.com/topic/education	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
工作与职业	employee	n.	受雇的员工	train new employees	培训新员工	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	employer	n.	雇主；雇用他人的机构或个人	a potential employer	可能录用自己的雇主	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	colleague	n.	同事	work with colleagues	与同事合作	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	occupation	n.	职业；此处不取占领义	state your occupation	填写或说明职业	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	career	n.	职业生涯；长期的职业发展	pursue a career in teaching	从事教育职业	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	recruit	v.	招聘或招募	recruit skilled workers	招聘技术工人	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	applicant	n.	申请人；此处为求职者	interview job applicants	面试求职者	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	interview	n.	面试；另有访谈义	prepare for a job interview	准备求职面试	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	contract	n.	合同	sign an employment contract	签订劳动合同	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	salary	n.	通常按月发放的固定薪金	an annual salary	年薪	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	wage	n.	工资；常用于按小时或周计酬	earn an hourly wage	按小时领取工资	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	promotion	n.	职位晋升；另有促销义	apply for promotion	申请晋升	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	resign	v.	辞职	resign from a job	辞去工作	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	retire	v.	退休	retire from full-time work	从全职岗位退休	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	unemployment	n.	失业；失业状况	reduce unemployment	减少失业	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	workload	n.	需要完成的工作量	manage a heavy workload	应对繁重的工作量	https://www.oxfordlearnersdictionaries.com/definition/english/workload	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	deadline	n.	完成或提交的最后期限	meet a deadline	在截止期限前完成	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	shift	n.	轮班的一班；此处不取变化义	work a night shift	上夜班	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	overtime	n.	超出正常工时的加班	work overtime	加班	https://www.oxfordlearnersdictionaries.com/definition/english/overtime	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	flexible	adj.	可按需要调整的	flexible working hours	弹性工作时间	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	productive	adj.	能有效完成工作、产出成果的	a productive meeting	有实际成果的会议	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	responsibility	n.	承担的职责或责任	take responsibility for a project	负责一个项目	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	experience	n.	实践积累的经验；此义通常不可数	gain work experience	积累工作经验	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	collaborate	v.	共同完成工作	collaborate with another team	与另一团队合作	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	negotiate	v.	通过协商争取达成约定	negotiate a pay rise	协商加薪	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
工作与职业	vacancy	n.	尚无人担任的职位	advertise a job vacancy	发布职位空缺信息	https://www.oxfordlearnersdictionaries.com/topic/category/work-and-business	沿用 Oxford/BC 公开主题分类作为覆盖范围依据；扩展词，待在线词形核对。中文义项与短搭配自行整理，不复制词典长释义或例句；不是按考试分数筛选的词表，也不是量化高频榜。	
